name,"name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj"
154,"ENSMUSG00000010110,27.900172550534396,3.13026701562519,1.11409000242601,2.80970748216824,0.00495865458036426,0.0256035105783514"
155,"ENSMUSG00000019838,94.4046365618402,1.62973734787957,0.585616478167237,2.7829431183016604,0.0053868249407401396,0.0273266380025391"
156,"ENSMUSG00000065374,28.879184514627,3.6589491448700695,1.31809689955344,2.77593335217591,0.00550434905980628,0.0278221331852459"
157,"ENSMUSG00000110361,77.95125031398099,1.7714730353808101,0.641450073497801,2.7616693934120797,0.0057506676812739705,0.0288823735824642"
158,"ENSMUSG00000078197,39.0900309148355,2.68415618188835,0.975956864823484,2.75028157353432,0.0059544074392687205,0.029760957167614"
159,"ENSMUSG00000026602,41.0984573035191,2.47776447106463,0.901336420171768,2.7489896287475495,0.00597792776760518,0.029834102533979"
160,"ENSMUSG00000101496,98.14717568432292,1.5399851326860703,0.57334701365981,2.6859564905657702,0.007232250595944879,0.0348228043103832"
161,"ENSMUSG00000107304,79.0091524982602,1.77467098354081,0.660934297654881,2.6850944032374797,0.0072509322495417,0.0348782306989058"
162,"ENSMUSG00000031294,93.1723144714197,1.57640008995047,0.5888228904938481,2.677205854936,0.007423900679288009,0.035544736585681996"
163,"ENSMUSG00000081005,18.681916797995104,3.73543159218648,1.4005511664539299,2.66711540546158,0.0076505396103982,0.0364221010165359"
164,"ENSMUSG00000082964,84.13784320481409,1.73236717553429,0.6496335897446679,2.6666835011027996,0.007660377453793909,0.036456013183717995"
165,"ENSMUSG00000038525,62.52744675295779,1.8978290660986499,0.7147314221776401,2.65530380673115,0.00792370105411966,0.0373156255256423"
166,"ENSMUSG00000103137,42.10474374140421,2.3381502118991295,0.8805085426746809,2.65545431824731,0.00792016599765959,0.0373156255256423"
167,"ENSMUSG00000005357,34.8565316973629,2.6804232323548303,1.00964380625109,2.6548206563139503,0.00793505833479536,0.0373529034126539"
168,"ENSMUSG00000100490,24.6776291715251,3.0126213293697703,1.15517903814122,2.6079258971123,0.009109267200876459,0.0418533898418648"
169,"ENSMUSG00000111547,60.4837137705548,1.97971079222626,0.766461347429516,2.5829231948429303,0.00979671297533403,0.0443743188056445"
170,"ENSMUSG00000040661,30.8888500268422,2.62753986127031,1.02492862890139,2.5636320297607003,0.0103583296162678,0.0463335948102793"
171,"ENSMUSG00000105692,31.385111370995002,2.6263731894435898,1.02514393787698,2.56195553853898,0.0104084642288366,0.0465331806235936"
172,"ENSMUSG00000041040,53.578818450967,1.9204078689106003,0.772053821923448,2.48740154426827,0.012868006601886998,0.0554434804823043"
173,"ENSMUSG00000099160,35.3577908540381,2.45983719314088,0.990694080071,2.48294326434715,0.0130301839206998,0.0558555282652402"
174,"ENSMUSG00000008734,30.3887702058809,2.57442443082561,1.03884521830017,2.4781597734435095,0.0132061993248766,0.05648915710037301"
175,"ENSMUSG00000036992,30.661608858290897,2.6042535082381,1.05089624598791,2.47812618817564,0.013207442538732,0.05648915710037301"
176,"ENSMUSG00000049339,78.73566439017542,1.59322821006414,0.6431453811265551,2.47724426983116,0.0132401252502603,0.0565654372958486"
177,"ENSMUSG00000039065,44.38070673000279,2.19186237016825,0.8880129806454701,2.4682773990252302,0.0135765063534708,0.0575726177224859"
178,"ENSMUSG00000105356,71.1703232927608,1.7645043049171103,0.718056167900055,2.45733465402487,0.0139972228140588,0.0590027314478372"
179,"ENSMUSG00000038300,82.87738634028729,1.5909460671135198,0.6480847947740711,2.4548424526271098,0.0140946344971617,0.059335910855310994"
180,"ENSMUSG00000084462,33.6355704960362,2.4291806305584,0.9973674094941869,2.43559254837729,0.0148674208124456,0.0619706584454203"
181,"ENSMUSG00000016528,74.9869222818206,1.58629758281405,0.6528921175830931,2.42964731858961,0.0151135214332542,0.0627045390326239"
182,"ENSMUSG00000031221,58.2859231854381,1.7803784764406299,0.7349294936715791,2.4225160260560097,0.0154134458917493,0.0637514296513093"
183,"ENSMUSG00000028614,50.8517690504643,2.0219009134578703,0.837307746615018,2.4147643702471497,0.015745391902635,0.0647460542720109"
184,"ENSMUSG00000049409,27.184237425419198,3.24905862436968,1.34891116927343,2.40865277001133,0.0160115235102069,0.0655393967516242"
185,"ENSMUSG00000059013,43.8385272599269,2.07603754784426,0.866285932621114,2.39648073421071,0.0165533636759868,0.0671028295105654"
186,"ENSMUSG00000024789,24.4400549321067,2.79550240448587,1.1712514783616599,2.38676531567431,0.0169973378106669,0.0685714168811224"
187,"ENSMUSG00000103629,79.69818133225809,1.51049038502029,0.633977233473912,2.38256250424559,0.0171926130570107,0.0692136670730378"
188,"ENSMUSG00000046897,20.7101661745231,3.5633642140306003,1.4984032635138702,2.37810761682022,0.0174017464047241,0.0698671014096994"
189,"ENSMUSG00000092394,44.5550680533245,2.06895772655361,0.8746234400985371,2.36554113656102,0.0180037430643986,0.0716203404487183"
190,"ENSMUSG00000108423,41.1136362677553,2.06577190329834,0.874841014151488,2.36131122099018,0.0182104408445286,0.072292704860189"
191,"ENSMUSG00000029276,65.9178180491419,1.84077961475445,0.7872726586192371,2.33817292471825,0.0193782794431054,0.0757885700646997"
192,"ENSMUSG00000043384,30.8775808674178,2.51733983250537,1.07762959217217,2.33599731372556,0.0194913815396855,0.0760957133947604"
193,"ENSMUSG00000084942,38.302682432451796,2.4928491671087403,1.07690997736451,2.3148166694577403,0.0206229672715326,0.0795651969137267"
194,"ENSMUSG00000075054,26.8916265391046,2.7610407336874596,1.1956376540046,2.30926211167723,0.0209290407666954,0.0804746069089468"
195,"ENSMUSG00000112838,43.8685490065752,1.96973643267065,0.863590616425345,2.28086826698508,0.0225562432281764,0.0855735442244093"
196,"ENSMUSG00000027306,61.2108492923983,1.7937203272178102,0.793998097253067,2.25909902482563,0.0238772257994804,0.0895479314401065"
197,"ENSMUSG00000117592,27.8958565372042,2.41780461223844,1.07667146223792,2.24562895649978,0.0247277841432867,0.0919928368543881"
198,"ENSMUSG00000005892,44.8700141247289,1.9543325747257099,0.876863712261765,2.22877574632978,0.0258288294608458,0.0952185505515123"
199,"ENSMUSG00000023393,40.6065775220636,1.95420895740914,0.880102043138423,2.22043451966146,0.0263892859793597,0.0968857601702571"
