Unnamed: 0,E2F1_12hr_dox_rep1,E2F1_12hr_dox_rep2,E2F1_6hr_dox_rep1,E2F1_6hr_dox_rep2,E2F1_2hr_dox_rep1,E2F1_2hr_dox_rep2,E2F1_0hr_rep1,E2F1_0hr_rep2
ENSMUSG00000046580.10,111.9148359782,175.67959855979998,91.79124615299999,52.0485302766,73.8334030126,60.302915818100004,72.8719582101,50.9428116195
ENSMUSG00000099253.1,1.9807935571000002,0.0,0.0,0.0,0.9977486893999999,0.0,0.0,0.0
ENSMUSG00000100351.1,15.8463484571,5.9552406290999995,0.0,6.0055996473,0.0,2.0100971939,0.0,3.9186778169
ENSMUSG00000113600.1,11.8847613428,10.9179411534,5.9863856187,17.0158656674,15.9639790298,20.1009719394,15.7560990725,17.634050176
ENSMUSG00000098412.1,0.0,0.0,0.0,0.0,3.9909947574,3.0151457908999997,0.0,0.0
ENSMUSG00000033036.9,348.61966605599997,426.7922450889,152.6528332762,142.1325249862,176.6015180166,212.0652539602,189.07318886939998,198.8728992068
ENSMUSG00000044211.9,610.0844155979,526.0462555746,417.05153143440003,428.39944150779996,456.9688997267,375.88817526599996,382.08540250699997,465.34299075480004
ENSMUSG00000099624.1,2.9711903357,11.910481258299999,5.9863856187,16.0149323928,10.975235583,18.0908747454,11.8170743043,11.756033450599999
ENSMUSG00000107990.1,15.8463484571,17.8657218874,8.979578428,24.0223985892,14.9662303404,15.0757289545,22.6493924167,15.6747112675
ENSMUSG00000100347.1,6.93277745,3.9701604194,0.0,6.0055996473,3.9909947574,7.0353401788,2.9542685761,0.0
ENSMUSG00000114353.1,0.0,0.0,0.0,2.0018665491,0.0,0.0,0.0,0.0
ENSMUSG00000102187.1,18.8175387928,10.9179411534,8.979578428,2.0018665491,21.9504711659,24.121166327199997,25.6036609927,15.6747112675
ENSMUSG00000103823.1,0.0,0.0,0.0,0.0,0.9977486893999999,0.0,0.0,0.0
ENSMUSG00000101431.1,11.8847613428,27.791122936,9.9773093645,21.019598765599998,30.930209370100002,21.1060205363,34.466466720999996,25.4714058097
ENSMUSG00000106067.1,19.8079355714,29.776203145700002,33.9228518392,29.027064961999997,48.8896857786,34.1716522969,32.496954336900004,23.512066901300003
ENSMUSG00000111812.1,0.0,0.0,0.0,0.0,0.0,2.0100971939,0.0,2.9390083626999997
ENSMUSG00000115602.1,6.93277745,2.9776203145999998,4.9886546822,4.0037330982,0.0,2.0100971939,9.8475619203,1.9593389084000001
ENSMUSG00000098068.1,0.0,0.0,0.0,5.0046663728,0.0,0.0,1.9695123841,0.0
ENSMUSG00000082159.2,54.4718228212,64.5151068158,60.861587123199996,94.08772780780001,77.82439777,67.3382559968,69.917689634,95.0279370594
