name,0hr,2hr,6hr,12hr,class
ENSMUSG00000046761.13,484.9363798392,502.5242984839,662.6178277527,609.4196243827,4
ENSMUSG00000043068.6,12.7357029049,13.0656317606,31.0289315111,18.8582619923,4
ENSMUSG00000027349.5,1349.9845079159,1479.4315347367,1437.3401822551,1810.3931512607,4
ENSMUSG00000030303.15,50.9428116195,33.1666036999,40.037330982,75.4330479692,4
ENSMUSG00000034066.13,1094.2907803643,1224.1491911068,1370.2776528602,865.494971436,4
ENSMUSG00000042423.9,2341.4099955871,2403.0711953501,1659.5473692054,1165.2420831031,4
ENSMUSG00000025226.11,805.2882913693,650.2664422382,658.6140946545,675.9198114082,4
ENSMUSG00000048232.12,972.811768041,857.3064532136,998.9314080018,1008.4207465355,4
ENSMUSG00000048230.6,8.817025088,2.0100971939,2.0018665491,1.9850802097,3
ENSMUSG00000055401.14,1316.6757464724,1254.3006490159,765.7139550315,566.7403998738,4
ENSMUSG00000021243.14,796.4712662813,844.240821453,646.6028953599,880.3830730089,4
ENSMUSG00000026656.15,0,0,2.0018665491,0.9925401049,0
ENSMUSG00000032118.16,996.3238349423,1480.4365833336,1097.0228689078,1439.1831520438,4
ENSMUSG00000041842.15,1160.9083032513,1290.4823985067,2140.9962742644,1306.1827779929,4
ENSMUSG00000019054.13,3098.6944836995,3160.8778374638,2998.7960905546,2939.9037905888,4
ENSMUSG00000003355.7,575.0659696274,576.8978946595,499.4657040009,243.1723256902,4
ENSMUSG00000040891.6,10.7763639964,10.0504859697,94.0877278078,54.5897057672,0
ENSMUSG00000055210.4,64.6581839786,69.3483531908,78.072795415,104.2167110101,4
ENSMUSG00000030067.17,3181.9663873083,2711.6211146192,4267.9794826851,3693.2417301759,4
ENSMUSG00000029563.16,0,0,1.0009332746,0,0
ENSMUSG00000007989.7,501.5907605609,545.7413881535,944.8810111761,672.9421910936,4
ENSMUSG00000072844.6,10.7763639964,8.0403887757,8.0074661964,3.9701604194,4
ENSMUSG00000086308.1,36.2477698062,33.1666036999,27.0251984129,30.7687432506,4
ENSMUSG00000031400.10,2526.5675224347,3266.4079401455,2482.3145208863,2881.3439244022,4
ENSMUSG00000038766.16,3984.3156703149,3829.2351544474,5031.6915711675,6127.9426073921,4
ENSMUSG00000070880.10,0,0,0,1.9850802097,2
ENSMUSG00000087264.1,11.7560334506,0,0,7.9403208389,3
ENSMUSG00000036390.8,78.3735563376,206.0349623784,75.0699955913,119.1048125829,4
ENSMUSG00000024064.14,0,0,2.0018665491,0,0
ENSMUSG00000020150.13,1004.161190576,1350.7853143248,838.7820840737,574.6807207127,4
ENSMUSG00000028048.11,1464.6058340597,1523.6536730032,1365.2729864875,1249.607992016,4
ENSMUSG00000025777.8,5.8780167253,2.0100971939,8.0074661964,0,4
ENSMUSG00000038259.4,295.8601751746,294.4792389116,200.1866549102,246.1499460047,4
ENSMUSG00000029275.18,1.9593389084,4.0201943879,8.0074661964,8.9328609437,4
ENSMUSG00000051335.6,1604.6985660132,1606.0676579546,1174.0947310482,819.8381266126,4
ENSMUSG00000053460.8,1541.9997209431,1522.6486244063,1173.0937977737,982.6147038092,4
ENSMUSG00000031493.10,181.2388490308,137.6916577846,92.0858612587,104.2167110101,4
ENSMUSG00000047867.11,30.3697530808,29.1464093121,10.0093327455,5.9552406291,4
ENSMUSG00000031821.11,545.6758860008,694.4885805048,936.8735449797,750.3603192725,4
ENSMUSG00000031546.6,811.1663080946,1132.6897687828,1159.08073193,1572.1835260948,4
ENSMUSG00000019433.9,2264.9957781579,2390.0055635895,2489.3210538081,3316.07649033,4
ENSMUSG00000051056.5,0,2.0100971939,5.0046663728,1.9850802097,0
ENSMUSG00000021318.15,3692.3741729572,3131.7314281518,4845.517982101,5077.8351764526,4
ENSMUSG00000058927.6,103.8449621474,168.8481642906,178.1661228701,271.955988731,4
ENSMUSG00000062319.2,3.9186778169,0,1.0009332746,0,3
ENSMUSG00000100954.4,40.166447623,38.1918466848,124.1157260443,132.0078339461,4
ENSMUSG00000089803.3,0,0,1.0009332746,4.9627005243,2
ENSMUSG00000067719.5,515.30613292,569.8625544808,490.45730453,529.0238758892,4
ENSMUSG00000068141.5,265.4904220938,297.4943847025,515.4806363937,598.5016832293,4
ENSMUSG00000070443.6,8.817025088,0,1.0009332746,3.9701604194,3
ENSMUSG00000104479.1,1.9593389084,2.0100971939,0,3.9701604194,4
ENSMUSG00000072492.5,8.817025088,2.0100971939,0,5.9552406291,4
ENSMUSG00000107894.1,5.8780167253,7.0353401788,8.0074661964,10.9179411534,4
ENSMUSG00000102759.1,9.7966945422,19.0959233424,10.0093327455,23.8209625166,4
ENSMUSG00000103957.1,29.3900836266,2.0100971939,10.0093327455,7.9403208389,3
ENSMUSG00000075014.1,27.4307447182,192.9693306178,22.0205320401,1.9850802097,1
ENSMUSG00000078289.2,0,0,1.0009332746,0,0
ENSMUSG00000113792.1,0,0,6.0055996473,0,0
ENSMUSG00000044860.9,5.8780167253,4.0201943879,3.0027998237,9.9254010486,4
ENSMUSG00000086696.1,0.9796694542,0,0,0,3
ENSMUSG00000086893.1,5.8780167253,8.0403887757,2.0018665491,1.9850802097,4
ENSMUSG00000083076.1,0.9796694542,2.0100971939,0,0,1
ENSMUSG00000086453.7,15.6747112675,8.0403887757,12.0111992946,10.9179411534,4
ENSMUSG00000081871.1,14.6950418133,15.0757289545,15.0139991183,12.9030213632,4
ENSMUSG00000087067.1,1.9593389084,2.0100971939,2.0018665491,7.9403208389,2
ENSMUSG00000085033.1,1.9593389084,0,2.0018665491,0,4
ENSMUSG00000083314.1,0,0,2.0018665491,0,0
ENSMUSG00000086233.1,300.7585224457,184.9289418421,213.1987874793,274.9336090456,4
ENSMUSG00000085467.1,0.9796694542,1.005048597,0,1.9850802097,4
ENSMUSG00000081025.1,0,0,0,0.9925401049,2
ENSMUSG00000083917.1,3.9186778169,0,0,0,3
ENSMUSG00000086986.3,5.8780167253,2.0100971939,4.0037330982,0.9925401049,4
ENSMUSG00000082688.1,0,0,1.0009332746,0,0
ENSMUSG00000085784.1,0.9796694542,0,0,0,3
ENSMUSG00000080981.1,0,0,0,1.9850802097,2
ENSMUSG00000082530.1,3.9186778169,15.0757289545,17.0158656674,7.9403208389,4
ENSMUSG00000081570.1,7.8373556338,0,0,0,3
ENSMUSG00000084145.3,17.634050176,25.1262149242,49.045730453,20.843342202,4
