,EV_0hr_ser_rep1,EV_0hr_ser_rep2,EV_2hr_ser_rep1,EV_2hr_ser_rep2,EV_6hr_ser_rep1,EV_6hr_ser_rep2,EV_12hr_ser_rep1,EV_12hr_ser_rep2
ENSMUSG00000107021.1,0,0,0,0,0,0,0.9976558268,0
ENSMUSG00000105706.1,0.9843344944,0,0,0.989409648,2.9450898169,3.9199008791,0,0
ENSMUSG00000106946.1,0,6.9091814371,0,1.9788192959,0,23.5194052747,0,0
ENSMUSG00000107276.1,9.8433449443,0.9870259196,0,8.9046868317,1.9633932112,0,6.9835907873,5.9899067276
ENSMUSG00000106044.2,0,1.9740518392,2.948820913,1.9788192959,0,6.8598265384,0.9976558268,2.9949533638
ENSMUSG00000105270.1,0,0,0,0,0,0,0.9976558268,0
ENSMUSG00000105179.1,6.890341461,6.9091814371,7.8635224346,10.8835061276,0,14.6996282967,0,0
ENSMUSG00000107128.1,1.9686689889,0,0,0,0,0,0,0
ENSMUSG00000104943.1,17.7180208998,14.8053887938,2.948820913,3.9576385919,0,1.9599504396,0,10.9814956673
ENSMUSG00000105137.1,0,8.8832332763,0,0,1.9633932112,1.9599504396,11.9718699211,3.9932711517
ENSMUSG00000105128.1,1.9686689889,0,0.9829403043,0,0,0,0,0
ENSMUSG00000105719.1,1.9686689889,3.9481036783,4.9147015216,20.7776026073,0,9.7997521978,5.9859349606,7.9865423035
ENSMUSG00000105259.1,0,8.8832332763,14.7441045649,0,0,0,0,2.9949533638
ENSMUSG00000105691.1,62.9974076437,31.5848294267,28.5052688256,55.406940286,39.2678642249,35.279107912,25.9390514958,24.9579446983
ENSMUSG00000106590.1,2.9530034833,14.8053887938,0,0,6.8718762394,1.9599504396,4.9882791338,0
ENSMUSG00000105973.1,8.8590104499,1.9740518392,2.948820913,0,0,16.6595787362,7.9812466141,2.9949533638
ENSMUSG00000106969.1,0,0,0,0,0,0,0.9976558268,0
ENSMUSG00000107085.1,1.9686689889,0,4.9147015216,0,0,1.9599504396,0,0
ENSMUSG00000107090.1,0,3.9481036783,3.9317612173,0,0,0,0,0
ENSMUSG00000106802.1,4.9216724722,1.9740518392,0,0,0.9816966056,0,0,0
